id,old_category,proposed_category,confidence,reason
1a167537-f996-46ad-8b85-30ce4deb15ef,"Containers & Packaging","General Silicone Moulds","HIGH","Matched type General Mould"
9402b69d-4f37-4b60-9770-8b79e0d5759b,"Candle & Pillar Moulds","Soap & Bar Moulds","HIGH","Matched type Soap Mould"
7ab585c7-6d05-4ba0-a58c-9a989703efcf,"Fragrance Oils","Containers & Packaging","HIGH","Matched type Bottle/Container"
8bc8ab73-5968-423f-8dae-b0ae0686b4ee,"Culinary & Fondant Moulds","Soap & Bar Moulds","HIGH","Matched type Soap Mould"
8efda9ac-f6e9-4104-bd03-3d7d0b2b17c2,"Food Safe Flavour Oil","Culinary & Fondant Moulds","HIGH","Matched type Culinary Mould"
556ed9b9-95ea-492e-8060-8246a66e1ea3,"Containers & Packaging","General Silicone Moulds","HIGH","Matched type General Mould"
0062c18f-5fb3-46b1-bfce-d10169e9c498,"Candle & Pillar Moulds","Soap & Bar Moulds","HIGH","Matched type Soap Mould"
37456fbd-4c64-4036-9992-adfbabee499d,"Food Safe Flavour Oil","Containers & Packaging","HIGH","Matched type Bottle/Container"
dac4a379-5610-4061-a23b-ce9587a935f5,"Candle & Pillar Moulds","Soap & Bar Moulds","HIGH","Matched type Soap Mould"
cff29c52-f208-4291-b1b5-e39aab25f6bd,"Fragrance Oils","Essential Oils","HIGH","Matched type Essential Oil"
fd625b48-1052-42f6-a491-ef99ecad4c0d,"Fragrance Oils","Containers & Packaging","HIGH","Matched type Bottle/Container"
f26eb402-427b-4c28-b368-132ac01a38e4,"Containers & Packaging","Candle & Pillar Moulds","HIGH","Matched type Candle Mould"
79dc0a86-0c3e-451b-9c94-3c7e85456c70,"Containers & Packaging","Eco-Resin & Stone Moulds","HIGH","Matched type Resin/Concrete Mould"
6cd82bbe-2813-4876-9f82-2b8e8a9830e4,"General Silicone Moulds","Candle Making Accessories","HIGH","Matched type Accessory/Tool"
ee780f9d-d184-420a-b119-0faa7102dc17,"Soap & Bar Moulds","Candle Making Accessories","HIGH","Matched type Accessory/Tool"
d3b81aab-fe78-4235-b40c-eeca0e4292ec,"Containers & Packaging","Eco-Resin & Stone Moulds","HIGH","Matched type Resin/Concrete Mould"
cdeb3b84-a6e4-48a7-9d22-3d96d45dccc7,"Food Safe Flavour Oil","Containers & Packaging","HIGH","Matched type Bottle/Container"
f611a220-ddc3-4442-8c5e-abd30316e7ab,"General Silicone Moulds","Containers & Packaging","HIGH","Matched type Bottle/Container"
e4710ea8-a9a0-4832-9df0-d9e7a14143df,"Containers & Packaging","Eco-Resin & Stone Moulds","HIGH","Matched type Resin/Concrete Mould"
9a4c8603-4c21-4669-90d0-b365781731ae,"Containers & Packaging","Premium Bases & Waxes","HIGH","Matched type Wax/Base"
bbe58755-c490-4273-b192-9b88a3b9e649,"Candle & Pillar Moulds","Soap & Bar Moulds","HIGH","Matched type Soap Mould"
1be2a3ab-ca39-4a06-8875-f82709616c53,"Candle & Pillar Moulds","Soap & Bar Moulds","HIGH","Matched type Soap Mould"
ebe8bbd6-fce2-4132-8fd2-be0fc37f0d8b,"Candle & Pillar Moulds","Soap & Bar Moulds","HIGH","Matched type Soap Mould"
f570c2aa-5552-4f6a-9577-2b30c2fa24e1,"Candle & Pillar Moulds","Soap & Bar Moulds","HIGH","Matched type Soap Mould"
dad6e032-d218-4d6d-8c05-6c7c543ad336,"Candle & Pillar Moulds","Soap & Bar Moulds","HIGH","Matched type Soap Mould"
29bbcaaf-400e-4c80-974b-4f1679366296,"Fragrance Oils","Containers & Packaging","HIGH","Matched type Bottle/Container"
8adf8e3c-de21-406d-9225-7b1e885b60e7,"Fragrance Oils","Containers & Packaging","HIGH","Matched type Bottle/Container"
31fdb341-82ed-4bf3-bbcd-585905b0f96e,"Containers & Packaging","Candle Making Accessories","HIGH","Matched type Accessory/Tool"
0952de25-3019-47d2-b9b6-3713ca6ef60d,"General Silicone Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
092c9e81-2345-4a9e-a5f9-57fe16530511,"Fragrance Oils","Containers & Packaging","HIGH","Matched type Bottle/Container"
3b3f61a9-66c0-4ae3-aeac-b3e4e9415e25,"Fragrance Oils","Containers & Packaging","HIGH","Matched type Bottle/Container"
5360f9d6-b6bf-42ea-8b7e-40a74891f512,"Fragrance Oils","Containers & Packaging","HIGH","Matched type Bottle/Container"
802cf454-ee12-4312-9cc0-666d00fed5f9,"Fragrance Oils","Containers & Packaging","HIGH","Matched type Bottle/Container"
36400989-3e32-41fe-a934-abfcd7de7465,"General Silicone Moulds","Candle Making Accessories","HIGH","Matched type Accessory/Tool"
c77b920a-056a-4eef-ad9f-58ff20c31527,"General Silicone Moulds","Candle Making Accessories","HIGH","Matched type Accessory/Tool"
ba85d47c-b614-4fd6-a9c4-a5c91352bc1a,"Containers & Packaging","General Silicone Moulds","HIGH","Matched type General Mould"
81d504ce-aa08-479a-bbce-a5ddc98d69d6,"Pigments & Colors","Candle Making Accessories","HIGH","Matched type Accessory/Tool"
bd39cecb-1ab4-4a8f-822d-8c68c9e4ed95,"Candle & Pillar Moulds","Soap & Bar Moulds","HIGH","Matched type Soap Mould"
4967a296-fd86-4fe6-b675-b473a8fc2765,"General Silicone Moulds","Candle Making Accessories","HIGH","Matched type Accessory/Tool"
ecb814d1-19d2-4b0b-ac4b-db905a58de36,"Food Safe Flavour Oil","General Silicone Moulds","HIGH","Matched type General Mould"
55793b10-4c98-4115-aed1-1eda65d78f32,"Food Safe Flavour Oil","Containers & Packaging","HIGH","Matched type Bottle/Container"
d74088e2-7484-48a9-a782-4b62971fd97f,"Candle & Pillar Moulds","Soap & Bar Moulds","HIGH","Matched type Soap Mould"
c25af4bb-99e2-4684-ba65-54ef169d84ae,"Fragrance Oils","Containers & Packaging","HIGH","Matched type Bottle/Container"
1b989deb-7360-4b41-95dc-a2e61581ebe2,"Candle & Pillar Moulds","Soap & Bar Moulds","HIGH","Matched type Soap Mould"
cf1d933e-2ee4-41c6-a73f-24bade3b6e08,"Candle & Pillar Moulds","Soap & Bar Moulds","HIGH","Matched type Soap Mould"
46cced58-077a-42a7-866f-4d54b782766c,"Food Safe Flavour Oil","Containers & Packaging","HIGH","Matched type Bottle/Container"
07a1484c-eb99-459f-88b6-906ce37b85b4,"Containers & Packaging","Premium Bases & Waxes","HIGH","Matched type Wax/Base"
ba67cf2b-ec7f-4601-aefd-4bca31f812d8,"Fragrance Oils","Containers & Packaging","HIGH","Matched type Bottle/Container"
7c736550-8c99-4340-8357-8e2ef44358e5,"Containers & Packaging","Eco-Resin & Stone Moulds","HIGH","Matched type Resin/Concrete Mould"
0031dd55-472f-4ce0-a4e8-e5c36242f235,"Food Safe Flavour Oil","Containers & Packaging","HIGH","Matched type Bottle/Container"
539732cf-f525-4001-96e8-8a7284d0dec3,"Fragrance Oils","Containers & Packaging","HIGH","Matched type Bottle/Container"
ff31780a-27d0-47d6-99ec-bb708c5cadf5,"General Silicone Moulds","Premium Bases & Waxes","HIGH","Matched type Wax/Base"
7105ef3d-38a3-4b99-abba-12865bfd80e7,"Soap & Bar Moulds","Fragrance Oils","HIGH","Matched type Fragrance Oil"
6b2cc154-5372-4426-b546-7e2e7f5dd554,"Containers & Packaging","Soap & Bar Moulds","HIGH","Matched type Soap Mould"
0879175a-e149-416a-94db-1229d1a82725,"Candle & Pillar Moulds","Soap & Bar Moulds","HIGH","Matched type Soap Mould"
