id,name,display_name
"493","Ladoo Sweet Mithai Fragrance Oil (skin safe)(candle)","Ladoo Sweet Mithai"
"494","Pure Desire Fragrance Oil","Pure Desire"
"495","Lavender Vanilla Fragrance Oil (skin safe)(candle)","Lavender Vanilla"
"496","Sea Salt Fragrance Oil (skin safe)(candle)","Sea Salt"
"497","Pure Orange Fragrance Oil (skin safe)(candle)","Pure Orange"
"498","Mahogany Teakwood Fragrance Oil (skin safe)(candle)","Mahogany Teakwood"
"499","Apple Cinnamon Fragrance Oil (skin safe)(candle)","Apple Cinnamon"
"500","Ice Cool Fragrance Oil (skin safe)(candle)","Ice Cool"
"501","Blue Ocean Fragrance Oil (skin safe)(candle)","Blue Ocean"
"502","Insignia Fragrance Oil (skin safe)(candle)","Insignia"
"503","Silky Sun Fragrance Oil (skin safe)(candle)","Silky Sun"
"504","Inter Pool Fragrance Oil (skin safe)(candle)","Inter Pool"
"505","Dove Strong Fragrance Oil (skin safe)(candle)","Dove Strong"
"506","Mimosa & Mandarin Fragrance Oil (skin safe)(cold process stable)(candle)","Mimosa & Mandarin"
"507","White Linen Fragrance Oil (skin safe)(cold process stable)(candle)","White Linen"
"508","Masala Chai Fragrance Oil (skin safe)(cold process stable)(candle)","Masala Chai"
"509","Arctic Breeze Fragrance Oil (skin safe)(cold process stable)(candle)","Arctic Breeze"
"510","French Lilac Fragrance Oil (skin safe)(cold process stable)(candle)","French Lilac"
"511","Hazelnut Coffee Fragrance Oil (skin safe)(cold process stable)(candle)","Hazelnut Coffee"
"512","Gili Mitti Fragrance Oil (skin safe)(cold process stable)(candle)","Gili Mitti"
"513","Bamboo Leaf Fragrance Oil (skin safe)(cold process stable)(candle)","Bamboo Leaf"
"514","Moringa Drumstick Flower Fragrance Oil (skin safe)(cold process stable)(candle)","Moringa Drumstick Flower"
"515","Amber Noir Fragrance Oil (skin safe)(cold process stable)(candle)","Amber Noir"
"516","Apple Pie Fragrance Oil (skin safe)(cold process stable)(candle)","Apple Pie"
"517","Russian Leather Fragrance Oil (skin safe)(cold process stable)(candle)","Russian Leather"
